product_id,name,category,subcategory,unit_price,cost,price_outlier,catalog_name,catalog_category,catalog_price,catalog_cost,stock_units,_merge
1,Black Camera,Electronics,Cameras,433.54,224.24,False,Black Camera,Electronics,440.6266121,224.24,270.0,both
2,Maintain Laptop,Electronics,Laptops,807.37,351.48,False,Maintain Laptop,Electronics,794.805649,351.48,16.0,both
3,Start Accessorie,Electronics,Accessories,978.72,367.95,False,Start Accessorie,Electronics,1009.666084,367.95,91.0,both
4,Movement Headphone,Electronics,Headphones,17.97,12.57,False,,,,,,left_only
5,Yeah Smartphone,Electronics,Smartphones,503.34,180.1,False,Yeah Smartphone,Electronics,524.4491334,180.1,161.0,both
6,Important Laptop,Electronics,Laptops,531.19,192.72,False,,,,,,left_only
7,Beyond Accessorie,Electronics,Accessories,357.42,167.06,False,Beyond Accessorie,Electronics,359.0951032,167.06,104.0,both
8,Plant Smartphone,Electronics,Smartphones,295.82,122.24,False,Plant Smartphone,Electronics,289.9942268,122.24,489.0,both
9,Right Laptop,Electronics,Laptops,66.57,26.82,False,Right Laptop,Electronics,67.34849674,26.82,5.0,both
10,After Laptop,Electronics,Laptops,309.24,235.47,False,After Laptop,Electronics,306.0290641,235.47,474.0,both
11,Change Smartphone,Electronics,Smartphones,216.27,129.85,False,Change Smartphone,Electronics,218.1639876,129.85,46.0,both
12,Get Smartphone,Electronics,Smartphones,156.75,77.9,False,Get Smartphone,Electronics,163.4162311,77.9,238.0,both
13,Support Headphone,Electronics,Headphones,152.16,71.45,False,,,,,,left_only
14,Find Headphone,Electronics,Headphones,90.93,61.01,False,Find Headphone,Electronics,90.07089876,61.01,12.0,both
15,Sea Headphone,Electronics,Headphones,536.46,192.64,False,Sea Headphone,Electronics,535.3471062,192.64,50.0,both
16,Yes Smartphone,Electronics,Smartphones,245.66,101.09,False,,,,,,left_only
17,Light Laptop,Electronics,Laptops,953.82,375.23,False,,,,,,left_only
18,Rest Camera,Electronics,Cameras,35.67,20.03,False,Rest Camera,Electronics,36.71729099,20.03,423.0,both
19,Improve Smartphone,Electronics,Smartphones,727.02,269.65,False,Improve Smartphone,Electronics,750.2348585,269.65,23.0,both
20,Arm Accessorie,Electronics,Accessories,548.49,335.04,False,Arm Accessorie,Electronics,545.4342393,335.04,182.0,both
21,Right Camera,Electronics,Cameras,614.24,247.11,False,Right Camera,Electronics,611.6941328,247.11,216.0,both
22,Scientist Smartphone,Electronics,Smartphones,205.71,98.81,False,Scientist Smartphone,Electronics,215.6565757,98.81,461.0,both
23,Cost Headphone,Electronics,Headphones,235.35,174.8,False,Cost Headphone,Electronics,231.5483636,174.8,39.0,both
24,Concern Headphone,Electronics,Headphones,696.97,282.68,False,Concern Headphone,Electronics,731.2565639,282.68,55.0,both
25,Protect Headphone,Electronics,Headphones,282.92,149.7,False,Protect Headphone,Electronics,284.636652,149.7,132.0,both
26,Agent Laptop,Electronics,Laptops,259.69,123.49,False,Agent Laptop,Electronics,268.0334597,123.49,364.0,both
27,Into Laptop,Electronics,Laptops,686.85,342.59,False,,,,,,left_only
28,Series Accessorie,Electronics,Accessories,749.19,279.01,False,Series Accessorie,Electronics,745.7388174,279.01,402.0,both
29,Pressure Accessorie,Electronics,Accessories,103.82,57.5,False,Pressure Accessorie,Electronics,103.4328794,57.5,251.0,both
30,Hospital Laptop,Electronics,Laptops,477.17,214.5,False,Hospital Laptop,Electronics,497.3163966,214.5,118.0,both
31,Wide Laptop,Electronics,Laptops,976.57,373.86,False,Wide Laptop,Electronics,970.2493795,373.86,430.0,both
32,East Smartphone,Electronics,Smartphones,338.4,127.28,False,,,,,,left_only
33,Forward Accessorie,Electronics,Accessories,217.73,78.93,False,Forward Accessorie,Electronics,216.2887005,78.93,298.0,both
34,Television Laptop,Electronics,Laptops,399.8,208.52,False,Television Laptop,Electronics,402.1468959,208.52,335.0,both
35,Wide Camera,Electronics,Cameras,425.48,268.86,False,Wide Camera,Electronics,425.7704406,268.86,358.0,both
36,Work Smartphone,Electronics,Smartphones,749.87,321.49,False,Work Smartphone,Electronics,763.1303291,321.49,393.0,both
37,Executive Laptop,Electronics,Laptops,608.8,285.91,False,Executive Laptop,Electronics,601.214991,285.91,100.0,both
38,Say Camera,Electronics,Cameras,364.99,233.95,False,Say Camera,Electronics,374.7309455,233.95,94.0,both
39,Yeah Laptop,Electronics,Laptops,412.64,256.52,False,Yeah Laptop,Electronics,415.5124779,256.52,428.0,both
40,Because Laptop,Electronics,Laptops,171.89,75.68,False,Because Laptop,Electronics,170.7461699,75.68,309.0,both
41,Rest Smartphone,Electronics,Smartphones,376.48,158.48,False,Rest Smartphone,Electronics,389.3389566,158.48,399.0,both
42,Cost Camera,Electronics,Cameras,328.75,216.35,False,Cost Camera,Electronics,328.9554123,216.35,180.0,both
43,A Laptop,Electronics,Laptops,97.72,52.4,False,,,,,,left_only
44,Walk Camera,Electronics,Cameras,6.81,4.3,False,Walk Camera,Electronics,6.958194713,4.3,196.0,both
45,Beautiful Camera,Electronics,Cameras,511.39,183.54,False,,,,,,left_only
46,Reflect Laptop,Electronics,Laptops,397.56,205.91,False,Reflect Laptop,Electronics,395.9490443,205.91,415.0,both
47,Central Camera,Electronics,Cameras,513.39,252.36,False,Central Camera,Electronics,520.2695278,252.36,348.0,both
48,Court Camera,Electronics,Cameras,231.62,156.59,False,Court Camera,Electronics,229.2605353,156.59,186.0,both
49,Left Laptop,Electronics,Laptops,850.7,304.77,False,,,,,,left_only
50,Wear Headphone,Electronics,Headphones,240.1,113.11,False,Wear Headphone,Electronics,247.643633,113.11,278.0,both
51,Former Cookware,Home & Kitchen,Cookware,863.34,370.52,False,Former Cookware,Home & Kitchen,887.9242481,370.52,332.0,both
52,Still Cookware,Home & Kitchen,Cookware,12.48,6.91,False,Still Cookware,Home & Kitchen,12.74501558,6.91,248.0,both
53,Student Decor,Home & Kitchen,Decor,192.38,115.82,False,Student Decor,Home & Kitchen,198.3746522,115.82,369.0,both
54,We Decor,Home & Kitchen,Decor,679.71,371.36,False,We Decor,Home & Kitchen,680.0610503,371.36,466.0,both
55,Others Cookware,Home & Kitchen,Cookware,395.52,222.82,False,Others Cookware,Home & Kitchen,400.677997,222.82,207.0,both
56,Heavy Appliance,Home & Kitchen,Appliances,186.07,83.65,False,Heavy Appliance,Home & Kitchen,184.5346293,83.65,120.0,both
57,Try Cookware,Home & Kitchen,Cookware,510.39,229.78,False,Try Cookware,Home & Kitchen,517.4992424,229.78,497.0,both
58,Artist Appliance,Home & Kitchen,Appliances,87.55,52.45,False,,,,,,left_only
59,Action Furniture,Home & Kitchen,Furniture,287.12,185.42,False,Action Furniture,Home & Kitchen,292.1959487,185.42,69.0,both
60,Coach Furniture,Home & Kitchen,Furniture,148.68,113.95,False,Coach Furniture,Home & Kitchen,154.7891224,113.95,375.0,both
61,Trade Appliance,Home & Kitchen,Appliances,512.76,233.12,False,,,,,,left_only
62,Key Furniture,Home & Kitchen,Furniture,244.7,95.18,False,Key Furniture,Home & Kitchen,251.02143,95.18,411.0,both
63,Song Appliance,Home & Kitchen,Appliances,430.39,178.68,False,Song Appliance,Home & Kitchen,432.9974634,178.68,130.0,both
64,Task Appliance,Home & Kitchen,Appliances,29.71,12.14,False,Task Appliance,Home & Kitchen,29.66122079,12.14,159.0,both
65,Scene Appliance,Home & Kitchen,Appliances,460.75,176.35,False,,,,,,left_only
66,Wide Cookware,Home & Kitchen,Cookware,447.18,201.12,False,Wide Cookware,Home & Kitchen,455.47074,201.12,170.0,both
67,Apply Furniture,Home & Kitchen,Furniture,355.8,151.07,False,Apply Furniture,Home & Kitchen,362.9422729,151.07,447.0,both
68,Bar Appliance,Home & Kitchen,Appliances,133.13,69.85,False,Bar Appliance,Home & Kitchen,139.012892,69.85,229.0,both
69,Front Decor,Home & Kitchen,Decor,274.11,163.83,False,Front Decor,Home & Kitchen,280.4666181,163.83,363.0,both
70,Bring Furniture,Home & Kitchen,Furniture,402.01,153.64,False,,,,,,left_only
71,Green Furniture,Home & Kitchen,Furniture,362.18,259.25,False,,,,,,left_only
72,Difficult Cookware,Home & Kitchen,Cookware,286.08,157.38,False,Difficult Cookware,Home & Kitchen,295.7757315,157.38,142.0,both
73,Travel Appliance,Home & Kitchen,Appliances,346.78,176.21,False,Travel Appliance,Home & Kitchen,349.9085247,176.21,485.0,both
74,Serve Appliance,Home & Kitchen,Appliances,171.2,104.21,False,Serve Appliance,Home & Kitchen,171.7813076,104.21,434.0,both
75,Wonder Decor,Home & Kitchen,Decor,299.66,192.98,False,Wonder Decor,Home & Kitchen,296.4010967,192.98,38.0,both
76,Cover Furniture,Home & Kitchen,Furniture,938.11,338.82,False,Cover Furniture,Home & Kitchen,982.7733586,338.82,21.0,both
77,What Furniture,Home & Kitchen,Furniture,103.53,38.72,False,What Furniture,Home & Kitchen,105.5021692,38.72,88.0,both
