product_id,stock,mean_monthly_demand,stockout_probability,ci_95_lower,ci_95_upper,recommended_reorder_point
300.0,0.0,1.9,0.9654,0.9603,0.9705,3.7
222.0,3.0,2.0,0.1504,0.1405,0.1603,3.6
105.0,4.0,2.1,0.1292,0.1199,0.1385,4.9
9.0,5.0,2.1,0.0118,0.0088,0.0148,4.2
127.0,6.0,2.2,0.0018,0.0006,0.003,4.5
3.0,91.0,2.0,0.0,0.0,0.0,4.8
5.0,161.0,2.2,0.0,0.0,0.0,4.0
10.0,474.0,2.4,0.0,0.0,0.0,5.1
11.0,46.0,2.4,0.0,0.0,0.0,4.8
12.0,238.0,2.0,0.0,0.0,0.0,3.9
14.0,12.0,2.1,0.0,0.0,0.0,4.2
15.0,50.0,2.6,0.0,0.0,0.0,5.0
18.0,423.0,2.0,0.0,0.0,0.0,4.3
2.0,16.0,2.2,0.0,0.0,0.0,5.0
1.0,270.0,2.1,0.0,0.0,0.0,4.1
21.0,216.0,2.6,0.0,0.0,0.0,4.5
22.0,461.0,2.4,0.0,0.0,0.0,5.8
23.0,39.0,2.0,0.0,0.0,0.0,3.9
24.0,55.0,2.1,0.0,0.0,0.0,4.6
25.0,132.0,2.1,0.0,0.0,0.0,4.2
26.0,364.0,1.9,0.0,0.0,0.0,3.6
28.0,402.0,2.1,0.0,0.0,0.0,4.0
29.0,251.0,2.2,0.0,0.0,0.0,4.0
30.0,118.0,2.2,0.0,0.0,0.0,4.8
31.0,430.0,1.8,0.0,0.0,0.0,3.7
33.0,298.0,2.2,0.0,0.0,0.0,4.2
34.0,335.0,2.3,0.0,0.0,0.0,5.0
35.0,358.0,2.0,0.0,0.0,0.0,4.7
36.0,393.0,2.0,0.0,0.0,0.0,4.1
7.0,104.0,2.0,0.0,0.0,0.0,4.1
8.0,489.0,2.5,0.0,0.0,0.0,5.1
39.0,428.0,2.0,0.0,0.0,0.0,4.2
40.0,309.0,2.4,0.0,0.0,0.0,4.4
41.0,399.0,2.1,0.0,0.0,0.0,4.5
42.0,180.0,1.9,0.0,0.0,0.0,3.9
44.0,196.0,2.5,0.0,0.0,0.0,6.1
46.0,415.0,2.2,0.0,0.0,0.0,4.7
47.0,348.0,2.1,0.0,0.0,0.0,3.9
48.0,186.0,2.2,0.0,0.0,0.0,4.6
50.0,278.0,2.1,0.0,0.0,0.0,4.6
51.0,332.0,1.9,0.0,0.0,0.0,3.9
52.0,248.0,2.2,0.0,0.0,0.0,5.0
53.0,369.0,2.2,0.0,0.0,0.0,4.6
54.0,466.0,2.1,0.0,0.0,0.0,4.6
55.0,207.0,2.1,0.0,0.0,0.0,4.3
56.0,120.0,2.1,0.0,0.0,0.0,4.2
57.0,497.0,2.1,0.0,0.0,0.0,4.1
59.0,69.0,1.7,0.0,0.0,0.0,3.1
60.0,375.0,2.0,0.0,0.0,0.0,3.8
62.0,411.0,2.5,0.0,0.0,0.0,5.4
63.0,130.0,2.3,0.0,0.0,0.0,4.7
64.0,159.0,2.7,0.0,0.0,0.0,6.6
66.0,170.0,2.3,0.0,0.0,0.0,4.0
67.0,447.0,2.0,0.0,0.0,0.0,3.6
68.0,229.0,2.7,0.0,0.0,0.0,5.8
69.0,363.0,2.2,0.0,0.0,0.0,4.5
72.0,142.0,3.2,0.0,0.0,0.0,6.0
73.0,485.0,2.8,0.0,0.0,0.0,6.5
74.0,434.0,2.3,0.0,0.0,0.0,5.5
75.0,38.0,2.2,0.0,0.0,0.0,3.7
76.0,21.0,1.7,0.0,0.0,0.0,3.4
19.0,23.0,2.0,0.0,0.0,0.0,4.2
20.0,182.0,2.2,0.0,0.0,0.0,5.0
78.0,439.0,2.0,0.0,0.0,0.0,3.9
