session_date,active_customers
2023-01-01,20
2023-01-08,112
2023-01-15,106
2023-01-22,104
2023-01-29,108
2023-02-05,99
2023-02-12,109
2023-02-19,114
2023-02-26,121
2023-03-05,113
2023-03-12,113
2023-03-19,99
2023-03-26,103
2023-04-02,103
2023-04-09,106
2023-04-16,126
2023-04-23,93
2023-04-30,97
2023-05-07,106
2023-05-14,112
2023-05-21,108
2023-05-28,113
2023-06-04,96
2023-06-11,119
2023-06-18,116
2023-06-25,97
2023-07-02,116
2023-07-09,106
2023-07-16,118
2023-07-23,104
2023-07-30,104
2023-08-06,104
2023-08-13,109
2023-08-20,116
2023-08-27,110
2023-09-03,131
2023-09-10,102
2023-09-17,123
2023-09-24,112
2023-10-01,128
2023-10-08,105
2023-10-15,127
2023-10-22,107
2023-10-29,107
2023-11-05,100
2023-11-12,147
2023-11-19,116
2023-11-26,94
2023-12-03,99
2023-12-10,120
2023-12-17,120
2023-12-24,119
2023-12-31,97
2024-01-07,100
2024-01-14,131
2024-01-21,122
2024-01-28,126
2024-02-04,116
2024-02-11,120
2024-02-18,110
2024-02-25,118
2024-03-03,108
2024-03-10,114
2024-03-17,111
2024-03-24,127
2024-03-31,102
2024-04-07,108
2024-04-14,99
2024-04-21,122
2024-04-28,115
2024-05-05,123
2024-05-12,121
2024-05-19,104
2024-05-26,122
2024-06-02,121
2024-06-09,112
2024-06-16,98
2024-06-23,119
2024-06-30,99
2024-07-07,109
2024-07-14,98
2024-07-21,135
2024-07-28,97
2024-08-04,109
2024-08-11,102
2024-08-18,87
2024-08-25,107
2024-09-01,107
2024-09-08,93
2024-09-15,118
2024-09-22,115
2024-09-29,115
2024-10-06,132
2024-10-13,119
2024-10-20,125
2024-10-27,110
2024-11-03,125
2024-11-10,115
2024-11-17,118
2024-11-24,126
2024-12-01,117
2024-12-08,120
2024-12-15,123
2024-12-22,117
2024-12-29,112
2025-01-05,36
